"Softcare Gold Diaper Maxi M-8",2685380480,78,8970,42,Baby,2,N/A,N/A
"Ranee Spaghetti - 400G",2823663385,69,4221,32,"Pasta &amp; Noodles",2,N/A,N/A
"Exe Mandazi - 2kg",5183853415,66,9924,23,Flours,2,N/A,N/A
"Kensalt - 1Kg",6518583240,64,1922,38,"Cooking Ingredient",2,N/A,N/A
"Afia Multi Vitamin Fruit Drink - 300Ml",7101006135,60,2652,14,"Soft Drinks",2,N/A,N/A
"Eden Tea Leaves - 100g",8358465019,59,2317,28,Tea,2,N/A,N/A
"Fahari Ya Kenya Tea - 100g",5368535563,57,2321,32,Tea,2,N/A,N/A
"Kensalt - 2Kg",8423708679,56,3360,44,"Cooking Ingredient",2,N/A,N/A
"Onion Red Small - 1Kg",7916381000,55,4345,38,Vegetables,2,N/A,N/A
"Ndhiwa Sugar - 2Kg",7409256198,54,13115,28,Sugar,2,N/A,N/A
"Festive White - 400g",8227628630,54,2760,30,"Bread &amp; Cereals",2,N/A,N/A
"Royco - Bouillon Beef Cube 4g x 10 Pieces",5144296158,51,1581,15,"Cooking Ingredient",2,N/A,N/A
"Pembe Ata Mark 1 - 2Kg",4959713278,50,7337,22,Flours,2,N/A,N/A
"Ufuta Cooking Oil - 1L",6836363084,45,13159,30,Oil,2,N/A,N/A
"Rhino Ndogo Match Box - 10 S",7794987563,42,1015,16,"Household Supply",2,N/A,N/A
"Quencher Orange - 1L",1732607775,41,5535,21,"Soft Drinks",2,N/A,N/A
"Blue Band Original - 500G",86722522,37,7400,24,"Cooking Ingredient",2,N/A,N/A
"Softcare Gold Diaper Maxi S-8",9922661962,36,4140,18,Baby,2,N/A,N/A
"Fresh Fri Cooking Oil - 500Ml",7659412302,36,5628,17,Oil,2,N/A,N/A
"Colgate Herbal - 35G",6604733167,35,1885,24,Hygiene,2,N/A,N/A
"Exe Self Raising Flour - 2Kg",8716032110,30,4531,11,Flours,2,N/A,N/A
"Ngarisha Steel Wool -15Gms",4103880190,30,150,1,"Cooking Ingredient",2,N/A,N/A
"Afia Multi Vitamin Fruit Drink - 500Ml",9111539073,29,1740,6,"Soft Drinks",2,N/A,N/A
"Jogoo Maize Meal - 1kg",8930412410,25,1425,6,Flours,2,N/A,N/A
"Exe Chapati - 2kg",2319734048,24,3520,10,Flours,2,N/A,N/A
"Famila Baby Porridge - 500g",9762639864,24,1547,12,Flours,2,N/A,N/A
"Geisha Soap Moringa Oil - 125g",8883940619,24,1648,22,Hygiene,2,"In stock",54
"Banana Local Medium - 3 Bananas",9537030280,23,414,14,Fruits,2,N/A,N/A
