id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
838673691_3410,"Ajab Home Baking - 2Kg","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/ajab-home-baking0flour-2kg.jpeg,https://kapu.mystagingwebsite.com/product/ajab-home-baking-2kg/?attribute_pa_pricing=pamoja,"Flours","Kapu Africa",139KES,in stock,838673691_3218,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,139KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
7718910308_3408,"Weetabix Single Serve - 37G","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Weetabix-Single-Serve.jpg,https://kapu.mystagingwebsite.com/product/weetabix-single-serve-37g/?attribute_pa_pricing=pamoja,"Bread &amp; Cereals","Kapu Africa",20KES,in stock,7718910308_3217,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
7195055335_3406,"Vaseline Pure Jelly - 50g","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Vaseline-50g.jpg,https://kapu.mystagingwebsite.com/product/vaseline-pure-jelly-50g/?attribute_pa_pricing=pamoja,"Beauty","Kapu Africa",39KES,in stock,7195055335_3216,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,39KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
2599419737_3404,"Toilex Wrapped Toilet Tissue - 1 Roll","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Toilex-1-roll.jpeg,https://kapu.mystagingwebsite.com/product/toilex-wrapped-toilet-tissue-1-roll/?attribute_pa_pricing=pamoja,"Household Cleaners","Kapu Africa",22KES,in stock,2599419737_3215,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,22KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
1611173445_3402,"Sunlight Powder Lavender - 40g","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/sunlight-200g-pink-1.jpg,https://kapu.mystagingwebsite.com/product/sunlight-powder-lavender-40g/?attribute_pa_pricing=pamoja,"Household Cleaners","Kapu Africa",8KES,in stock,1611173445_3214,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,8KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
9922661962_3400,"Softcare Gold Diaper Maxi S-8","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Softcare-Diapers-Small.jpg,https://kapu.mystagingwebsite.com/product/softcare-gold-diaper-maxi-s-8/?attribute_pa_pricing=pamoja,"Household Cleaners","Kapu Africa",115KES,in stock,9922661962_3213,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,115KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
2685380480_3398,"Softcare Gold Diaper Maxi M-8","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Softcare-Medium.jpg,https://kapu.mystagingwebsite.com/product/softcare-gold-diaper-maxi-m-8/?attribute_pa_pricing=pamoja,"Household Cleaners","Kapu Africa",0KES,in stock,2685380480_3212,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
9400515460_3396,"Softcare Gold Diaper Maxi L-8","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Softcare-Diapers-Large.jpeg,https://kapu.mystagingwebsite.com/product/softcare-gold-diaper-maxi-l-8/?attribute_pa_pricing=pamoja,"Household Cleaners","Kapu Africa",115KES,in stock,9400515460_3211,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,115KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
3819626227_3394,"Royco - Bouillon Beef Cube 4g x 3 Pieces","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Royco-Cube-X-3.jpeg,https://kapu.mystagingwebsite.com/product/royco-bouillon-beef-cube-4g-x-3-pieces/?attribute_pa_pricing=pamoja,"Cooking Ingredient","Kapu Africa",9KES,in stock,3819626227_3210,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,9KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
4103880190_3390,"Ngarisha Steel Wool -15Gms","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Ngarisha-75g.jpeg,https://kapu.mystagingwebsite.com/product/ngarisha-steel-wool-15gms/?attribute_pa_pricing=pamoja,"Cooking Ingredient","Kapu Africa",5KES,in stock,4103880190_3208,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5KES,new,published,,,,,422,,"pricing:Base/Pamoja:Pamoja"
